,sc_id,spot,corr,celltype
0,cell_347,spot_91,0.8095592127697064,ExcitatoryL2and3
1,cell_1155,spot_91,0.8095592127697064,ExcitatoryL2and3
2,cell_982,spot_91,0.8095592127697064,ExcitatoryL2and3
3,cell_372,spot_91,0.8095592127697064,ExcitatoryL2and3
4,cell_1346,spot_91,0.8095592127697064,Other
5,cell_587,spot_91,0.8095592127697064,Other
6,cell_1155,spot_111,0.9032818965320274,ExcitatoryL2and3
7,cell_389,spot_111,0.9032818965320274,ExcitatoryL2and3
8,cell_803,spot_111,0.9032818965320274,ExcitatoryL2and3
9,cell_148,spot_111,0.9032818965320274,ExcitatoryL2and3
10,cell_982,spot_111,0.9032818965320274,ExcitatoryL2and3
11,cell_1470,spot_111,0.9032818965320274,ExcitatoryL2and3
12,cell_372,spot_111,0.9032818965320274,ExcitatoryL2and3
13,cell_711,spot_111,0.9032818965320274,ExcitatoryL2and3
14,cell_1065,spot_111,0.9032818965320274,ExcitatoryL2and3
15,cell_907,spot_111,0.9032818965320274,Other
16,cell_539,spot_111,0.9032818965320274,Other
17,cell_1037,spot_159,0.9085488345386966,Astro
18,cell_1392,spot_159,0.9085488345386966,Astro
19,cell_192,spot_159,0.9085488345386966,Astro
20,cell_1292,spot_159,0.9085488345386966,Astro
21,cell_443,spot_159,0.9085488345386966,Astro
22,cell_582,spot_159,0.9085488345386966,ExcitatoryL5
23,cell_778,spot_159,0.9085488345386966,ExcitatoryL5
24,cell_364,spot_159,0.9085488345386966,Endo
25,cell_430,spot_55,0.9185510874638052,Astro
26,cell_443,spot_55,0.9185510874638052,Astro
27,cell_587,spot_55,0.9185510874638052,Other
28,cell_37,spot_55,0.9185510874638052,Other
29,cell_1446,spot_55,0.9185510874638052,Vip
30,cell_111,spot_55,0.9185510874638052,Vip
31,cell_1448,spot_55,0.9185510874638052,Npy
32,cell_411,spot_55,0.9185510874638052,Npy
33,cell_670,spot_55,0.9185510874638052,Npy
34,cell_360,spot_41,0.9269596938794654,Astro
35,cell_912,spot_41,0.9269596938794654,Astro
36,cell_1398,spot_41,0.9269596938794654,Olig
37,cell_326,spot_41,0.9269596938794654,Olig
38,cell_129,spot_41,0.9269596938794654,Olig
39,cell_421,spot_41,0.9269596938794654,Olig
40,cell_1403,spot_41,0.9269596938794654,Olig
41,cell_1408,spot_41,0.9269596938794654,Endo
42,cell_1037,spot_100,0.8840669637845007,Astro
43,cell_1405,spot_100,0.8840669637845007,Astro
44,cell_1487,spot_100,0.8840669637845007,Olig
45,cell_1515,spot_100,0.8840669637845007,Pvalb
46,cell_1061,spot_100,0.8840669637845007,ExcitatoryL6
47,cell_1462,spot_100,0.8840669637845007,ExcitatoryL6
48,cell_215,spot_100,0.8840669637845007,ExcitatoryL6
49,cell_112,spot_100,0.8840669637845007,ExcitatoryL6
50,cell_374,spot_100,0.8840669637845007,ExcitatoryL6
51,cell_344,spot_100,0.8840669637845007,ExcitatoryL6
52,cell_1401,spot_100,0.8840669637845007,ExcitatoryL6
53,cell_1064,spot_100,0.8840669637845007,ExcitatoryL6
54,cell_985,spot_100,0.8840669637845007,ExcitatoryL6
55,cell_1037,spot_77,0.9250205816430994,Astro
56,cell_375,spot_77,0.9250205816430994,Astro
57,cell_764,spot_77,0.9250205816430994,Astro
58,cell_192,spot_77,0.9250205816430994,Astro
59,cell_522,spot_77,0.9250205816430994,Astro
60,cell_960,spot_77,0.9250205816430994,ExcitatoryL5
61,cell_1061,spot_77,0.9250205816430994,ExcitatoryL6
62,cell_1462,spot_77,0.9250205816430994,ExcitatoryL6
63,cell_1405,spot_163,0.9201248165681724,Astro
64,cell_705,spot_163,0.9201248165681724,Astro
65,cell_903,spot_163,0.9201248165681724,Sst
66,cell_389,spot_163,0.9201248165681724,ExcitatoryL2and3
67,cell_1442,spot_163,0.9201248165681724,ExcitatoryL2and3
68,cell_1489,spot_163,0.9201248165681724,Olig
69,cell_1360,spot_163,0.9201248165681724,Olig
70,cell_813,spot_163,0.9201248165681724,ExcitatoryL4
71,cell_993,spot_163,0.9201248165681724,ExcitatoryL4
72,cell_790,spot_163,0.9201248165681724,ExcitatoryL4
73,cell_665,spot_163,0.9201248165681724,ExcitatoryL4
74,cell_477,spot_163,0.9201248165681724,ExcitatoryL4
75,cell_892,spot_163,0.9201248165681724,ExcitatoryL4
76,cell_129,spot_98,0.7960978916228812,Olig
77,cell_1398,spot_98,0.7960978916228812,Olig
78,cell_1403,spot_98,0.7960978916228812,Olig
79,cell_326,spot_98,0.7960978916228812,Olig
80,cell_520,spot_98,0.7960978916228812,Micro
81,cell_900,spot_98,0.7960978916228812,ExcitatoryL6
82,cell_1091,spot_98,0.7960978916228812,ExcitatoryL6
83,cell_125,spot_98,0.7960978916228812,ExcitatoryL6
84,cell_1350,spot_119,0.891184016363822,Astro
85,cell_1061,spot_119,0.891184016363822,ExcitatoryL6
86,cell_1462,spot_119,0.891184016363822,ExcitatoryL6
87,cell_713,spot_119,0.891184016363822,ExcitatoryL6
88,cell_351,spot_119,0.891184016363822,ExcitatoryL6
89,cell_1401,spot_119,0.891184016363822,ExcitatoryL6
90,cell_2,spot_119,0.891184016363822,ExcitatoryL6
91,cell_112,spot_119,0.891184016363822,ExcitatoryL6
92,cell_1027,spot_119,0.891184016363822,ExcitatoryL6
93,cell_1287,spot_119,0.891184016363822,ExcitatoryL6
94,cell_1064,spot_119,0.891184016363822,ExcitatoryL6
95,cell_901,spot_50,0.861681892379353,Endo
96,cell_364,spot_50,0.861681892379353,Endo
97,cell_813,spot_50,0.861681892379353,ExcitatoryL4
98,cell_993,spot_50,0.861681892379353,ExcitatoryL4
99,cell_790,spot_50,0.861681892379353,ExcitatoryL4
100,cell_513,spot_50,0.861681892379353,ExcitatoryL4
101,cell_363,spot_50,0.861681892379353,ExcitatoryL4
102,cell_914,spot_50,0.861681892379353,ExcitatoryL4
103,cell_477,spot_50,0.861681892379353,ExcitatoryL4
104,cell_1165,spot_50,0.861681892379353,Pvalb
105,cell_1037,spot_62,0.8791443786216325,Astro
106,cell_635,spot_62,0.8791443786216325,ExcitatoryL5
107,cell_587,spot_62,0.8791443786216325,Other
108,cell_37,spot_62,0.8791443786216325,Other
109,cell_1061,spot_62,0.8791443786216325,ExcitatoryL6
110,cell_1426,spot_62,0.8791443786216325,ExcitatoryL6
111,cell_1295,spot_62,0.8791443786216325,ExcitatoryL6
112,cell_787,spot_62,0.8791443786216325,ExcitatoryL6
113,cell_546,spot_34,0.8538424044966257,Astro
114,cell_1155,spot_34,0.8538424044966257,ExcitatoryL2and3
115,cell_372,spot_34,0.8538424044966257,ExcitatoryL2and3
116,cell_389,spot_34,0.8538424044966257,ExcitatoryL2and3
117,cell_982,spot_34,0.8538424044966257,ExcitatoryL2and3
118,cell_347,spot_34,0.8538424044966257,ExcitatoryL2and3
119,cell_299,spot_34,0.8538424044966257,ExcitatoryL2and3
120,cell_901,spot_34,0.8538424044966257,Endo
121,cell_330,spot_34,0.8538424044966257,Endo
122,cell_216,spot_34,0.8538424044966257,Endo
123,cell_239,spot_34,0.8538424044966257,Endo
124,cell_1442,spot_184,0.899573942801938,ExcitatoryL2and3
125,cell_299,spot_184,0.899573942801938,ExcitatoryL2and3
126,cell_347,spot_184,0.899573942801938,ExcitatoryL2and3
127,cell_1293,spot_184,0.899573942801938,ExcitatoryL2and3
128,cell_372,spot_184,0.899573942801938,ExcitatoryL2and3
129,cell_389,spot_184,0.899573942801938,ExcitatoryL2and3
130,cell_170,spot_184,0.899573942801938,Other
131,cell_397,spot_184,0.899573942801938,Other
132,cell_1446,spot_184,0.899573942801938,Vip
133,cell_1156,spot_145,0.9179590985638897,Astro
134,cell_705,spot_145,0.9179590985638897,Astro
135,cell_230,spot_145,0.9179590985638897,Astro
136,cell_347,spot_145,0.9179590985638897,ExcitatoryL2and3
137,cell_1442,spot_145,0.9179590985638897,ExcitatoryL2and3
138,cell_1065,spot_145,0.9179590985638897,ExcitatoryL2and3
139,cell_1470,spot_145,0.9179590985638897,ExcitatoryL2and3
140,cell_987,spot_145,0.9179590985638897,ExcitatoryL2and3
141,cell_1184,spot_145,0.9179590985638897,ExcitatoryL2and3
142,cell_813,spot_145,0.9179590985638897,ExcitatoryL4
143,cell_1165,spot_145,0.9179590985638897,Pvalb
144,cell_80,spot_109,0.8824584971641243,ExcitatoryL2and3
145,cell_990,spot_109,0.8824584971641243,ExcitatoryL2and3
146,cell_148,spot_109,0.8824584971641243,ExcitatoryL2and3
147,cell_982,spot_109,0.8824584971641243,ExcitatoryL2and3
148,cell_626,spot_109,0.8824584971641243,ExcitatoryL2and3
149,cell_246,spot_109,0.8824584971641243,ExcitatoryL2and3
150,cell_163,spot_109,0.8824584971641243,ExcitatoryL2and3
151,cell_1155,spot_109,0.8824584971641243,ExcitatoryL2and3
152,cell_1026,spot_109,0.8824584971641243,ExcitatoryL2and3
153,cell_233,spot_109,0.8824584971641243,ExcitatoryL2and3
154,cell_17,spot_109,0.8824584971641243,ExcitatoryL2and3
155,cell_111,spot_109,0.8824584971641243,Vip
156,cell_1446,spot_109,0.8824584971641243,Vip
157,cell_1226,spot_26,0.8968831563286056,ExcitatoryL5
158,cell_778,spot_26,0.8968831563286056,ExcitatoryL5
159,cell_1490,spot_26,0.8968831563286056,ExcitatoryL2and3
160,cell_298,spot_26,0.8968831563286056,Endo
161,cell_215,spot_26,0.8968831563286056,ExcitatoryL6
162,cell_344,spot_26,0.8968831563286056,ExcitatoryL6
163,cell_1462,spot_26,0.8968831563286056,ExcitatoryL6
164,cell_473,spot_26,0.8968831563286056,ExcitatoryL6
165,cell_1061,spot_26,0.8968831563286056,ExcitatoryL6
166,cell_112,spot_26,0.8968831563286056,ExcitatoryL6
167,cell_374,spot_26,0.8968831563286056,ExcitatoryL6
168,cell_1459,spot_37,0.8703276695804936,Astro
169,cell_188,spot_37,0.8703276695804936,Astro
170,cell_210,spot_37,0.8703276695804936,Endo
171,cell_297,spot_37,0.8703276695804936,Endo
172,cell_274,spot_37,0.8703276695804936,Endo
173,cell_216,spot_37,0.8703276695804936,Endo
174,cell_364,spot_37,0.8703276695804936,Endo
175,cell_778,spot_39,0.7795548852340791,ExcitatoryL5
176,cell_585,spot_39,0.7795548852340791,ExcitatoryL5
177,cell_1417,spot_39,0.7795548852340791,Olig
