,count
cell_0,2.0
cell_1,0.0
cell_2,5.0
cell_3,1.0
cell_4,2.0
cell_5,1.0
cell_6,0.0
cell_7,0.0
cell_8,0.0
cell_9,0.0
cell_10,0.0
cell_11,0.0
cell_12,1.0
cell_13,0.0
cell_14,3.0
cell_15,0.0
cell_16,0.0
cell_17,4.0
cell_18,4.0
cell_19,0.0
cell_20,1.0
cell_21,0.0
cell_22,0.0
cell_23,1.0
cell_24,0.0
cell_25,2.0
cell_26,0.0
cell_27,2.0
cell_28,2.0
cell_29,1.0
cell_30,0.0
cell_31,0.0
cell_32,4.0
cell_33,0.0
cell_34,3.0
cell_35,2.0
cell_36,3.0
cell_37,5.0
cell_38,3.0
cell_39,0.0
cell_40,0.0
cell_41,1.0
cell_42,1.0
cell_43,0.0
cell_44,1.0
cell_45,0.0
cell_46,1.0
cell_47,1.0
cell_48,0.0
cell_49,1.0
cell_50,0.0
cell_51,4.0
cell_52,0.0
cell_53,0.0
cell_54,0.0
cell_55,0.0
cell_56,1.0
cell_57,0.0
cell_58,0.0
cell_59,0.0
cell_60,0.0
cell_61,2.0
cell_62,1.0
cell_63,0.0
cell_64,2.0
cell_65,0.0
cell_66,0.0
cell_67,2.0
cell_68,0.0
cell_69,0.0
cell_70,0.0
cell_71,1.0
cell_72,1.0
cell_73,0.0
cell_74,0.0
cell_75,1.0
cell_76,0.0
cell_77,0.0
cell_78,0.0
cell_79,1.0
cell_80,5.0
cell_81,0.0
cell_82,1.0
cell_83,3.0
cell_84,0.0
cell_85,1.0
cell_86,0.0
cell_87,2.0
cell_88,2.0
cell_89,0.0
cell_90,1.0
cell_91,0.0
cell_92,0.0
cell_93,1.0
cell_94,2.0
cell_95,1.0
cell_96,3.0
cell_97,0.0
cell_98,0.0
cell_99,1.0
cell_100,0.0
cell_101,1.0
cell_102,0.0
cell_103,2.0
cell_104,0.0
cell_105,1.0
cell_106,2.0
cell_107,1.0
cell_108,0.0
cell_109,1.0
cell_110,0.0
cell_111,5.0
cell_112,7.0
cell_113,0.0
cell_114,1.0
cell_115,0.0
cell_116,0.0
cell_117,0.0
cell_118,0.0
cell_119,0.0
cell_120,1.0
cell_121,0.0
cell_122,3.0
cell_123,1.0
cell_124,0.0
cell_125,4.0
cell_126,0.0
cell_127,2.0
cell_128,0.0
cell_129,6.0
cell_130,0.0
cell_131,4.0
cell_132,0.0
cell_133,0.0
cell_134,0.0
cell_135,4.0
cell_136,0.0
cell_137,0.0
cell_138,2.0
cell_139,0.0
cell_140,2.0
cell_141,3.0
cell_142,0.0
cell_143,0.0
cell_144,2.0
cell_145,0.0
cell_146,1.0
cell_147,1.0
cell_148,6.0
cell_149,2.0
cell_150,0.0
cell_151,1.0
cell_152,0.0
cell_153,0.0
cell_154,0.0
cell_155,1.0
cell_156,2.0
cell_157,0.0
cell_158,1.0
cell_159,0.0
cell_160,0.0
cell_161,1.0
cell_162,1.0
cell_163,5.0
cell_164,0.0
cell_165,0.0
cell_166,0.0
