,count,prob
cell_0,1.0,0.9330329915368074
cell_1,1.0,0.9330329915368074
cell_2,1.0,0.9330329915368074
cell_3,1.0,0.9330329915368074
cell_4,1.0,0.9330329915368074
cell_5,1.0,0.9330329915368074
cell_6,1.0,0.9330329915368074
cell_7,1.0,0.9330329915368074
cell_8,1.0,0.9330329915368074
cell_9,2.0,0.8705505632961241
cell_10,1.0,0.9330329915368074
cell_11,1.0,0.9330329915368074
cell_12,1.0,0.9330329915368074
cell_13,1.0,0.9330329915368074
cell_14,1.0,0.9330329915368074
cell_15,1.0,0.9330329915368074
cell_16,1.0,0.9330329915368074
cell_17,1.0,0.9330329915368074
cell_18,1.0,0.9330329915368074
cell_19,2.0,0.8705505632961241
cell_20,1.0,0.9330329915368074
cell_21,1.0,0.9330329915368074
cell_22,1.0,0.9330329915368074
cell_23,1.0,0.9330329915368074
cell_24,1.0,0.9330329915368074
cell_25,1.0,0.9330329915368074
cell_26,1.0,0.9330329915368074
cell_27,2.0,0.8705505632961241
cell_28,1.0,0.9330329915368074
cell_29,1.0,0.9330329915368074
cell_30,1.0,0.9330329915368074
cell_31,0.0,1.0
cell_32,1.0,0.9330329915368074
cell_33,1.0,0.9330329915368074
cell_34,1.0,0.9330329915368074
cell_35,1.0,0.9330329915368074
cell_36,1.0,0.9330329915368074
cell_37,2.0,0.8705505632961241
cell_38,1.0,0.9330329915368074
cell_39,1.0,0.9330329915368074
cell_40,1.0,0.9330329915368074
cell_41,2.0,0.8705505632961241
cell_42,2.0,0.8705505632961241
cell_43,1.0,0.9330329915368074
cell_44,1.0,0.9330329915368074
cell_45,1.0,0.9330329915368074
cell_46,1.0,0.9330329915368074
cell_47,1.0,0.9330329915368074
cell_48,1.0,0.9330329915368074
cell_49,1.0,0.9330329915368074
cell_50,1.0,0.9330329915368074
cell_51,2.0,0.8705505632961241
cell_52,1.0,0.9330329915368074
cell_53,1.0,0.9330329915368074
cell_54,1.0,0.9330329915368074
cell_55,1.0,0.9330329915368074
cell_56,2.0,0.8705505632961241
cell_57,1.0,0.9330329915368074
cell_58,1.0,0.9330329915368074
cell_59,1.0,0.9330329915368074
cell_60,1.0,0.9330329915368074
cell_61,1.0,0.9330329915368074
cell_62,1.0,0.9330329915368074
cell_63,1.0,0.9330329915368074
cell_64,1.0,0.9330329915368074
cell_65,1.0,0.9330329915368074
cell_66,1.0,0.9330329915368074
cell_67,1.0,0.9330329915368074
cell_68,1.0,0.9330329915368074
cell_69,1.0,0.9330329915368074
cell_70,2.0,0.8705505632961241
cell_71,1.0,0.9330329915368074
cell_72,1.0,0.9330329915368074
cell_73,2.0,0.8705505632961241
cell_74,1.0,0.9330329915368074
cell_75,1.0,0.9330329915368074
cell_76,1.0,0.9330329915368074
cell_77,1.0,0.9330329915368074
cell_78,1.0,0.9330329915368074
cell_79,2.0,0.8705505632961241
cell_80,1.0,0.9330329915368074
cell_81,1.0,0.9330329915368074
cell_82,1.0,0.9330329915368074
cell_83,1.0,0.9330329915368074
cell_84,1.0,0.9330329915368074
cell_85,1.0,0.9330329915368074
cell_86,1.0,0.9330329915368074
cell_87,1.0,0.9330329915368074
cell_88,1.0,0.9330329915368074
cell_89,1.0,0.9330329915368074
cell_90,1.0,0.9330329915368074
cell_91,1.0,0.9330329915368074
cell_92,1.0,0.9330329915368074
cell_93,1.0,0.9330329915368074
cell_94,1.0,0.9330329915368074
cell_95,1.0,0.9330329915368074
cell_96,1.0,0.9330329915368074
cell_97,2.0,0.8705505632961241
cell_98,1.0,0.9330329915368074
cell_99,1.0,0.9330329915368074
cell_100,1.0,0.9330329915368074
cell_101,1.0,0.9330329915368074
cell_102,1.0,0.9330329915368074
cell_103,2.0,0.8705505632961241
cell_104,1.0,0.9330329915368074
cell_105,1.0,0.9330329915368074
cell_106,1.0,0.9330329915368074
cell_107,1.0,0.9330329915368074
cell_108,1.0,0.9330329915368074
